ivr_id,phone_number,ivr_result,vdn_aggregation,start_date,end_date,total_duration,customer_segment,ivr_language,steps_module,module_aggregation,document_type,document_identification,customer_phone,billing_account_id,masiva_lg,info_by_phone_lg,info_by_dni_lg,repeated_phone_24H,cause_recall_phone_24H
1671182542,+Z5PTJepnPoM28k39hd2cQ==,AGENT,TECH,16/12/2022 9:22:22,16/12/2022 9:22:55,33,B2C,ESP,1,"WELCOME,IDENTIFICACION,CQI,AVERIA_MASIVA,DEUDA,OPEN_QUESTION,AGENT,END",NULL,NULL,NULL,NULL,1,0,0,1,1
1670960473,4k8HzlEo/1pB5+QIcYtiqw==,AGENT,TECH,13/12/2022 19:41:13,13/12/2022 19:41:46,33,B2C,ESP,1,"WELCOME,IDENTIFICACION,CQI,AVERIA_MASIVA,DEUDA,OPEN_QUESTION,AGENT,END",NULL,NULL,NULL,NULL,1,0,0,1,1
1671094664,iUC3tYw4j2MG071s5qTflA==,AGENT,TECH,15/12/2022 8:57:45,15/12/2022 8:58:13,28,B2C,ESP,1,"WELCOME,IDENTIFICACION,CQI,AVERIA_MASIVA,DEUDA,OPEN_QUESTION,AGENT,END",NULL,NULL,iUC3tYw4j2MG071s5qTflA==,NULL,1,0,0,1,1
1671453064,yeF6WT7XTJc6bsVTG3jpVg==,AGENT,TECH,19/12/2022 12:31:04,19/12/2022 12:31:58,54,B2B,ESP,1,"WELCOME,IDENTIFICACION,CQI,AVERIA_MASIVA,DEUDA,OPEN_QUESTION,AGENT,END",NULL,NULL,NULL,NULL,1,0,0,1,1
1671279348,47mERSUzBlIUg2LPKji28Q==,AGENT,TECH,17/12/2022 12:15:48,17/12/2022 12:16:49,61,B2C,ESP,1,"WELCOME,IDENTIFICACION,CQI,OPEN_QUESTION,AGENT,END",NULL,NULL,NULL,NULL,0,0,0,1,1
1670835744,nhHK3josDly4dUfLpq/jwA==,AGENT,TECH,12/12/2022 9:02:25,12/12/2022 9:03:32,67,B2B,ESP,1,"WELCOME,IDENTIFICACION,CQI,OPEN_QUESTION,AGENT,END",NULL,NULL,NULL,NULL,0,0,0,1,1
1671200555,huWXQKvGTjzCoGP30P4z+A==,AGENT,TECH,16/12/2022 14:22:35,16/12/2022 14:23:46,71,B2C,ESP,1,"WELCOME,IDENTIFICACION,CQI,OPEN_QUESTION,AGENT,END",NULL,NULL,NULL,NULL,0,0,0,1,1
1671021961,rrd2hSR21B8VDgNRoTRnxQ==,AGENT,TECH,14/12/2022 12:46:02,14/12/2022 12:47:01,59,B2C,ESP,1,"WELCOME,IDENTIFICACION,CQI,AVERIA_MASIVA,OPEN_QUESTION,AGENT,END",NULL,NULL,rrd2hSR21B8VDgNRoTRnxQ==,NULL,1,0,0,1,1
1670938583,PckoUiyNtwc2P0oZPg7V1w==,AGENT,TECH,13/12/2022 13:36:23,13/12/2022 13:37:30,67,B2C,ESP,1,"WELCOME,IDENTIFICACION,CQI,AVERIA_MASIVA,OPEN_QUESTION,AGENT,END",NULL,NULL,PckoUiyNtwc2P0oZPg7V1w==,NULL,1,0,0,1,1
1671463557,4KgbXufkpV9V2Xzd9ivcyg==,AGENT,TECH,19/12/2022 15:25:57,19/12/2022 15:27:17,80,B2C,ESP,1,"WELCOME,IDENTIFICACION,CQI,AVERIA_MASIVA,OPEN_QUESTION,AGENT,END",NULL,NULL,NULL,NULL,1,0,0,1,1
